# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2014-05-08 21:13:20.179524
1.932484524376074653e+00,2.365392959544749374e+00,1.139925018702285797e+00,2.623475927490854787e+00
2.778063324629358455e-01,2.485382642717081758e+00,2.091207591216038608e+00,1.147397910030293344e-01
1.594646254647053674e+00,1.190503478959920480e+00,-2.150703197356789165e-01,1.948822511455725159e+00
2.555048267243411608e+00,1.295895836957251968e+00,1.873681435424239261e-01,2.485526890659450761e-02
1.187816171415603250e+00,1.944350694747490227e+00,2.240029732400357965e+00,7.789503755983765432e-01
-2.535833813032160045e-01,6.582497885730590470e-01,1.724200850954772379e+00,7.600131338401439063e-02
-1.007955372820498408e+00,1.432796340364590026e+00,2.250483548106906317e-01,6.322153640894061510e-01
4.242837800016108218e-01,1.749025349521992290e+00,1.095532184078031879e-01,1.044494471454337159e+00
7.862332613481948229e-01,1.888593646434375994e+00,2.806058908944561558e+00,6.698407825970873475e-01
1.678694264871035013e+00,1.088646728473141811e+00,-3.689792900232367057e-01,8.919707575624231666e-01
